,repository_name,languages
0,.github,
1,ads-agentic-tools,Shell
2,aioshumway,Python
3,android-auth,Kotlin
4,android-sdk,HTML
5,android-store-service,Python
6,annoy,C++
7,annoy-java,Java
8,apollo,Java
9,apollo-elide,Java
10,apollo-metrics,
11,apps-tutorial,
12,argo-cd,
13,argo-rollouts,
14,async-datastore-client,Java
15,async-google-pubsub-client,Java
16,backup-utils,Shell
17,basic-pitch,Python
18,basic-pitch-ts,TypeScript
19,batty,Python
20,bazel,
21,bazel-tools,Java
22,beam,Java
23,big-data-rosetta-code,Scala
24,bigtable-autoscaler,Java
25,boilerplate-app,
26,bucket-runner,JavaScript
27,cartography,Python
28,cassandra-extra,Java
29,cassandra-medusa,Python
30,cassandra-opstools,Java
31,cassandra-reaper,
32,causify,
33,certcheck,Python
34,chartify,Python
35,code-of-conduct,
36,collectd,C
37,comet,Python
38,comet-common,Python
39,comet-core,Python
40,completable-futures,Java
41,condor,Java
42,confidence,Python
43,confidence-ai-plugins,Python
44,confidence-cli,TypeScript
45,confidence-metrics-sync,Go
46,confidence-openfeature-provider-php,PHP
47,confidence-resolver,Rust
48,confidence-sdk-android,Kotlin
49,confidence-sdk-demos,TypeScript
50,confidence-sdk-dotnet,C#
51,confidence-sdk-flutter,Dart
52,confidence-sdk-go,Go
53,confidence-sdk-java,Java
54,confidence-sdk-js,TypeScript
55,confidence-sdk-python,Python
56,confidence-sdk-rust,Rust
57,confidence-sdk-swift,Swift
58,container-agent,Python
59,conversion-api-tag-template,Smarty
60,cookiecutter-golang,Go
61,coordinator,HTML
62,crtauth,Python
63,crtauth-java,Java
64,crtauth-java-agent-signer-apache,Java
65,crunch-lib,Java
66,cstar,Python
67,daemon-java,Java
68,dataenum,Java
69,DataflowJavaSDK,Java
70,dataproc-java-submitter,Java
71,dataprocxy,Python
72,dbeam,Java
73,debify,Shell
74,dh-virtualenv,Python
75,diffuser,Swift
76,dns-java,Java
77,docgenerator,Java
78,docker-alpine,
79,docker-bigtable,Go
80,docker-cassandra,Shell
81,docker-client,Java
82,docker-gc,Shell
83,docker-kafka,Shell
84,docker-maven-plugin,Java
85,docker-stress,Python
86,dockerfile-maven,Java
87,dockerfile-mode,Emacs Lisp
88,docker_interface,Python
89,drserv,Python
90,druid,
91,duck,Ruby
92,echoprint-codegen,C++
93,echoprint-server,Java
94,elasticsearch-index-window,Java
95,elitzur,Scala
96,eslint-config-oss,JavaScript
97,etcd,Go
98,featran,Scala
99,ffwd,Java
100,ffwd-client-java,Java
101,ffwd-http-client,Java
102,ffwd-ruby,Ruby
103,flink,Java
104,flink-docker,
105,flink-on-k8s-operator,Go
106,flo,Java
107,flume-syslog-source2,Java
108,flyte-flink-plugin,Go
109,fmt-maven-plugin,Java
110,folsom,Java
111,foss-root,
112,futures-extra,Java
113,futuristic-feline,Java
114,gcp-audit,Python
115,gcp-aws-iam-federation-webidentity,HCL
116,gcp-firewall-enforcer,Python
117,gcs-tools,Scala
118,ghelog,Python
119,gimme,Python
120,git-test,Shell
121,github-java-client,Java
122,google-http-java-client,Java
123,gordon,Python
124,gordon-gcp,Python
125,gordon-introspection,Python
126,gordon-janitor,Python
127,gordon-janitor-gcp,Python
128,griffin,Python
129,hadoop-openpgp-codec,Java
130,hdfs2cass,Java
131,helios,Java
132,helios-go,Go
133,helios-skydns,Java
134,heroic,Java
135,heroic-client-go,Go
136,heroic-client-java,Java
137,homebrew-public,Ruby
138,hornet,Scala
139,HubFramework,Objective-C
140,hush-tab,JavaScript
141,hype,Java
142,hyperflo,Scala
143,ieee-spm-vocals-tutorial,Jupyter Notebook
144,ios-auth,Swift
145,ios-ci,Shell
146,ios-sdk,Objective-C
147,ios-style,
148,java-hamcrest,Java
149,java-lkk,Java
150,java-locales,Java
151,jenkins-coverage-poster,Groovy
152,jira-lkk-bridge,Java
153,JniHelpers,C++
154,jsconfeu-2013,JavaScript
155,kafka,Scala
156,kairosdb,Java
157,kernel-common,
158,klio,Python
159,lemur,Python
160,lighthouse-audit-service,TypeScript
161,limbo,Scala
162,lingon,JavaScript
163,linux,C
164,logging-java,Java
165,luigi,Python
166,lyceum,Clojure
167,mace,
168,magnolify,Scala
169,metrics-munin-reporter,Java
170,missinglink,Java
171,mlockexec,Python
172,mobius,Java
173,mobius-android-sample,Java
174,Mobius.swift,Swift
175,moob,Ruby
176,netty-batch-flusher,Java
177,netty-zmtp,Java
178,noether,Scala
179,okta-sdk-python,Python
180,openfeature-kotlin-sdk,Kotlin
181,openfeature-swift-sdk,Swift
182,pedalboard,C++
183,PeqBank,C
184,perf-map-agent,C
185,phpconf-argentina-2014,JavaScript
186,platform-external-bluetooth-bluez,
187,polly-jest-presets,TypeScript
188,portal-ai-plugins,TypeScript
189,postgresql-metrics,Python
190,proto-registry,TypeScript
191,proto-requests,TypeScript
192,protoman,Java
193,puppet-talos,Puppet
194,pyeos,Python
195,pyfg,Python
196,pyschema,Python
197,python-graphwalker,Python
198,pythonflow,Python
199,pywk,Python
200,quickstart,JavaScript
201,ratatool,Scala
202,react-native-lookback,Objective-C
203,reactochart,JavaScript
204,realbook,Python
205,redux-location-state,JavaScript
206,requests-crtauth,Python
207,robolectric,Java
208,rspec-dns,Ruby
209,rspec-dnsruby,Ruby
210,ruler,Kotlin
211,s3mper,Java
212,save-to-spotify,Go
213,scanctl,Python
214,scio,Scala
215,scio-contrib,Scala
216,scio-idea-plugin,Scala
217,scio.g8,Scala
218,sekexe,Shell
219,semantic-metrics,Java
220,should-up,JavaScript
221,shumway,Python
222,simple-bigtable,Java
223,skydns,
224,skygc,Python
225,snakebite,Python
226,soa-reference-integration,TypeScript
227,soloist,
228,soundcheck-demo-environment,TypeScript
229,sourcekit-bazel-bsp,Swift
230,spark-bigquery,Scala
231,sparkey,C
232,sparkey-java,Java
233,sparkey-python,Python
234,spawn,Java
235,spotify-checkstyle-config,
236,spotify-heroic-datasource,TypeScript
237,spotify-js-challenge,JavaScript
238,spotify-json,C++
239,spotify-tensorflow,Python
240,spotify-web-api-ts-sdk,TypeScript
241,spotify-web-playback-sdk-example,JavaScript
242,spotify.github.io,HTML
243,SpotifyLogin,Swift
244,sprunch,Scala
245,SPStackedNav,Objective-C
246,SPTDataLoader,Objective-C
247,SPTPersistentCache,Objective-C
248,spydra,Java
249,spymaster,Python
250,squashing-census-exporter,Kotlin
251,ssh-agent-proxy,Java
252,ssh-agent-tls,Java
253,styx,Java
254,super-smash-brogp,Python
255,swupdate,
256,syslog-redirector,Go
257,syslog-redirector-golang,Go
258,talos,Ruby
259,target-determinator,Go
260,terraform-gke-kubeflow-cluster,HCL
261,terraform-google-aws-hybrid-cloud-vpn,HCL
262,terraform-google-grr,HCL
263,testing-game,Python
264,tfexample-derive,Scala
265,tfreader,Scala
266,tfx,Python
267,threaddump-analyzer,JavaScript
268,trickle,Java
269,ts-interface-loader,TypeScript
270,tutter-jenkins,Ruby
271,uboot,
272,ulogger,Python
273,Vandelay,Java
274,vdisk,Python
275,vispana,JavaScript
276,visualizer-app,
277,volcano,Go
278,voyager,C++
279,wasd,Java
280,web-api,RAML
281,web-api-examples,HTML
282,web-audio-bench,JavaScript
283,web-playback-sdk,
284,web-scripts,TypeScript
285,web-scripts-library-template,TypeScript
286,XCMetrics,Swift
287,XCRemoteCache,Swift
288,zoltar,Java
